,zpid,price,priceLabel,beds,baths,area,statusType,statusText,isFavorite,isUserClaimingOwner,isUserConfirmedClaim,imgSrc,hasImage,visited,listingType,shouldShowZestimateAsPrice,detailUrl,pgapt,sgapt,has3DModel,hasVideo,isHomeRec,address,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,availabilityDate,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,variableData.data.isFresh,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.isShowcaseListing,buildingId,lotId,minBeds,minBaths,minArea,plid,unitCount,isBuilding,badgeInfo,canSaveBuilding,streetViewMetadataURL,streetViewURL,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceChange,hdpData.homeInfo.unit,hdpData.homeInfo.priceReduction,hdpData.homeInfo.videoCount,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit
0,17185165,"$4,500/mo",$4.5K,4,3,1987,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/dce74d3a22644b394ab6d05b921cd3e5-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/1142-Hollybrook-Ave-Chula-Vista-CA-91913/17185165_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"1142 Hollybrook Ave, Chula Vista, CA 91913",FALSE,FALSE,FALSE,,16355709,32.63439,-116.98709,TIME_ON_INFO,4 hours ago,TRUE,17185165,1142 Hollybrook Ave,91913,Chula Vista,CA,32.63439,-116.98709,4500,3,4,1987,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,894000,4294,FALSE,FALSE,FOR_RENT,4500,TRUE,FALSE,FALSE,USD,USA,696107,FALSE,,,,,,,,,,,,,,,,,,,
1,17018019,"$4,500/mo",$4.5K,4,2.5,1686,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/3d9debab9c0e1b82fb92d1d4f73d0c1a-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/2290-Chatswood-Dr-Lemon-Grove-CA-91945/17018019_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"2290 Chatswood Dr, Lemon Grove, CA 91945",FALSE,TRUE,FALSE,10/1/2023 0:00,26822562,32.730064,-117.026596,TIME_ON_INFO,7 hours ago,TRUE,17018019,2290 Chatswood Dr,91945,Lemon Grove,CA,32.730064,-117.026596,4500,2.5,4,1686,SINGLE_FAMILY,FOR_RENT,-1,TRUE,FALSE,FALSE,792900,3849,FALSE,FALSE,FOR_RENT,4500,TRUE,FALSE,FALSE,USD,USA,462056,FALSE,,,,,,,,,,,,,,,,,,,
2,,"$4,200+/mo",,,,,FOR_RENT,For Rent,FALSE,,,https://photos.zillowstatic.com/fp/0f2affa055df4bcb34720da607e76cfd-p_e.jpg,TRUE,,,,"/b/Chula-Vista-CA/32.62817,-116.96322_ll/",,,FALSE,,FALSE,"1524 Caminito Sicilia, Chula Vista, CA",FALSE,FALSE,FALSE,,28288562,32.62817,-116.96322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.62817--116.96322,,4,3,1760,52zyujdjh4vph,2,TRUE,,FALSE,,,,,,,,,
3,17189722,"$3,400/mo",$3.4K,4,2,1450,FOR_RENT,House for rent,FALSE,FALSE,FALSE,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=32.692481994628906,-117.07308959960938&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=Hxd0KI0xlOxXXI1mZDWpU3kmSkE=",,FALSE,,FALSE,/homedetails/1327-S-58th-St-San-Diego-CA-92114/17189722_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"1327 S 58th St, San Diego, CA 92114",FALSE,FALSE,FALSE,9/1/2023 0:00,28537659,32.692482,-117.07309,TIME_ON_INFO,7 hours ago,TRUE,17189722,1327 S 58th St,92114,San Diego,CA,32.692482,-117.07309,3400,2,4,1450,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,675500,3499,FALSE,FALSE,FOR_RENT,3400,TRUE,FALSE,FALSE,USD,USA,194146,FALSE,,,,,,,,,,,"https://maps.googleapis.com/maps/api/streetview/metadata?location=32.692481994628906,-117.07308959960938&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=xGiV6PQldKqfgnLZ2pLL3sxC1rM=","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.692481994628906,-117.07308959960938&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=Y6H25o9e-eSNJt2yuIXsgdiL-s4=",,,,,,,
4,17050758,"$4,500/mo",$4.5K,4,3.5,2319,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/0d3b9eab0867090181fd89b144d1b520-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/2073-Valley-Rim-Rd-El-Cajon-CA-92019/17050758_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"2073 Valley Rim Rd, El Cajon, CA 92019",FALSE,FALSE,FALSE,8/1/2023 0:00,37466110,32.80305,-116.90392,TIME_ON_INFO,10 hours ago,TRUE,17050758,2073 Valley Rim Rd,92019,El Cajon,CA,32.80305,-116.90392,4500,3.5,4,2319,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,1000600,4600,FALSE,FALSE,FOR_RENT,4500,TRUE,FALSE,FALSE,USD,USA,446683,FALSE,,,,,,,,,,,,,,,,,,,
5,17041488,"$4,600/mo",$4.6K,4,2.5,2222,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/9089b80fcfaca9a50d85c19380461256-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/4131-Palm-Tree-Ct-La-Mesa-CA-91941/17041488_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"4131 Palm Tree Ct, La Mesa, CA 91941",FALSE,FALSE,FALSE,9/1/2023 0:00,38018725,32.754265,-116.95804,TIME_ON_INFO,10 hours ago,TRUE,17041488,4131 Palm Tree Ct,91941,La Mesa,CA,32.754265,-116.95804,4600,2.5,4,2222,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,1042200,4524,FALSE,FALSE,FOR_RENT,4600,TRUE,FALSE,FALSE,USD,USA,361089,FALSE,,,,,,,,,,,,,,,,,,,
6,16784949,"$3,900/mo",$3.9K,4,2,1641,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/3c358a742cffd41b4a42ba773b32bc84-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/7970-Santa-Arminta-Ave-San-Diego-CA-92126/16784949_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"7970 Santa Arminta Ave, San Diego, CA 92126",FALSE,TRUE,FALSE,8/15/2023 0:00,38190243,32.927364,-117.15226,TIME_ON_INFO,10 hours ago,TRUE,16784949,7970 Santa Arminta Ave,92126,San Diego,CA,32.927364,-117.15226,3900,2,4,1641,SINGLE_FAMILY,FOR_RENT,-1,TRUE,FALSE,FALSE,1152000,4500,FALSE,FALSE,FOR_RENT,3900,TRUE,FALSE,FALSE,USD,USA,633666,FALSE,,,,,,,,,,,,,,,,,,,
7,16781570,"$4,150/mo",$4.2K,4,2,1178,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/7852ff7fddafb05ca9775622b486cdea-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/11379-Vela-Dr-San-Diego-CA-92126/16781570_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"11379 Vela Dr, San Diego, CA 92126",FALSE,TRUE,FALSE,,49578534,32.93217,-117.13782,TIME_ON_INFO,13 hours ago,TRUE,16781570,11379 Vela Dr,92126,San Diego,CA,32.93217,-117.13782,4150,2,4,1178,SINGLE_FAMILY,FOR_RENT,-1,TRUE,FALSE,FALSE,895500,3597,FALSE,FALSE,FOR_RENT,4150,TRUE,FALSE,FALSE,USD,USA,72653,FALSE,,,,,,,,,,,,,,,,,,,
8,2056218799,"$4,700/mo",$4.7K,4,2,,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/b302bb334cdf5efcd181dfe45fa827e4-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/3109-Natchez-Ave-San-Diego-CA-92117/2056218799_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"3109 Natchez Ave, San Diego, CA 92117",FALSE,FALSE,FALSE,,49911951,32.797714,-117.19464,TIME_ON_INFO,13 hours ago,TRUE,2056218799,3109 Natchez Ave,92117,San Diego,CA,32.797714,-117.19464,4700,2,4,,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,,,FALSE,FALSE,FOR_RENT,4700,TRUE,FALSE,FALSE,USD,USA,,FALSE,,,,,,,,,,,,,,,,,,,
9,52514325,"$4,795/mo",$4.8K,4,2,1335,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/4bd8c584f8c8bf697c64eb10504c4fb5-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/4248-Dellwood-St-San-Diego-CA-92111/52514325_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"4248 Dellwood St, San Diego, CA 92111",FALSE,TRUE,FALSE,,51555204,32.819393,-117.15709,TIME_ON_INFO,14 hours ago,TRUE,52514325,4248 Dellwood St,92111,San Diego,CA,32.819393,-117.15709,4795,2,4,1335,SINGLE_FAMILY,FOR_RENT,-1,TRUE,FALSE,FALSE,928200,4200,FALSE,FALSE,FOR_RENT,4795,TRUE,FALSE,FALSE,USD,USA,473437,FALSE,,,,,,,,,,,,,,,,,,,
